group	player	influence	position	salience	flex
	Argentina	0.972	54.8	30	20
	Austria	0.889	50.65	75	20
	Belgium	1.182	51.4	75	20
	Brazil	0.993	94.8	30	20
	Bulgaria	0.345	0	75	20
	Canada	1.61	78.1	50	5
	China	11.941	50.65	30	20
	Czechoslovakia	1.401	4.5	75	20
	Denmark	0.24	50.65	75	20
	Egypt	0.408	51.6	30	20
	England	7.863	51.8	75	5
	France	3.597	51.4	75	5
	Greece	0.418	50.65	75	20
	Hungary	0.45	4.5	75	20
	India	2.468	50.65	30	20
	Iran	0.491	51.2	30	20
	Iraq	0.157	51.85	30	20
	Israel	0.125	50.65	75	20
	Italy	2.426	50.65	75	20
	Mexico	0.774	94.8	30	20
	Norway	0.23	50.65	75	20
	Netherlands	0.836	51.4	75	20
	Pakistan	1.485	50.65	30	20
	Philippines	0.408	50.65	30	20
	Poland	3.273	4.5	75	20
	Rumania	0.606	4.5	75	20
	SovietUnion	18.256	0	75	5
	SouthAfrica	0.68	50.65	30	20
	SaudiArabia	0.125	51.4	30	20
	Spain	1.683	50.65	75	20
	Sweden	0.648	50.65	75	20
	Syria	0.104	51.4	30	20
	Thailand	0.414	50.65	30	20
	Turkey	1.347	51.2	75	20
	USA	29.956	100	75	5
	Yugoslavia	0.891	0	75	20
