group	name	influence	position	salience	flexibility	veto
Foreign	Indonesia	5	75	25	30	0
Foreign	Egypt	15	12	35	30	0
Foreign	IraqiKurds	5	10	25	30	0
Foreign	Brazil	5	5	25	30	0
Foreign	Venezuela	5	180	20	30	0
Foreign	NonAligned	10	75	60	30	0
Foreign	Saudigovt	65	18	80	30	0
Foreign	Lebanon	2	75	25	30	0
Foreign	Russia	60	40	45	30	0
Foreign	Israel	55	0	80	5	0
Foreign	UK	20	6	60	30	0
Foreign	IraqiSunni	5	3	35	30	0
Foreign	Afghangovt	5	12	35	30	0
Foreign	NorthKorea	15	200	25	30	0
Foreign	Pakistan	5	75	30	30	0
Foreign	IraqGovt	15	12	50	30	0
Foreign	TurkKurds	2	10	20	30	0
Foreign	India	10	75	20	30	0
Foreign	China	60	75	40	30	0
Foreign	Japan	5	6	45	30	0
Foreign	UNSC	100	6	75	30	0
Foreign	Germany	10	6	40	30	0
Foreign	France	30	6	50	30	0
Foreign	Syria	10	143	25	30	0
Foreign	Italy	5	15	30	30	0
Foreign	GulfStates	20	13	70	30	0
Foreign	AFGenrlStf	20	175	55	30	0
Foreign	Turkeygovt	15	6	60	30	0
Interest	CSR	5	75	80	30	0
Interest	ArabStreet	5	140	25	30	0
Interest	Hesbollah	15	155	35	15	0
Interest	OilIndstry	65	18	25	30	0
Interest	MuslimBrth	5	75	25	10	0
Interest	IntlBusnes	45	18	15	30	0
Interest	IAEA	100	75	80	20	0
Interest	Taliban	5	135	25	5	0
Interest	IPIS	5	100	55	30	0
Iran	IRGCOrg	95	175	50	5	0
Iran	MinDefAFLg	30	160	55	25	0
Iran	AyatHardln	80	135	40	5	0
Iran	Ahmadi-Nej	40	180	90	10	0
Iran	Velayati	70	155	80	25	0
Iran	StudYouths	80	75	30	30	0
Iran	IAcademics	1	75	30	30	0
Iran	XNucNego	15	75	75	30	0
Iran	SCNS	80	150	90	20	0
Iran	Shahrudi	30	150	45	20	0
Iran	Bazaaris	25	100	25	30	0
Iran	Iprovinial	10	75	20	30	0
Iran	Quietists	70	75	30	30	0
Iran	Manuchehr	25	100	65	25	0
Iran	Larijani	70	130	85	20	0
Iran	Soleimani	25	180	45	7	0
Iran	IUrbanPoor	35	75	20	30	0
Iran	Safavi	25	155	75	15	0
Iran	AliHoseini	10	140	45	12	0
Iran	RadRelAdv	5	200	70	15	0
Iran	IBankSystm	20	75	30	30	0
Iran	dissidents	0.5	75	15	30	0
Iran	Majlis	20	143	25	30	0
Iran	Qalibaf	5	143	40	30	0
Iran	Bonyads	60	75	25	30	0
Iran	AEOI	20	135	90	30	0
Iran	MOIS	5	155	55	30	0
Iran	IranKurds	5	18	25	30	0
Iran	ICntrlBnk	45	75	35	30	0
Iran	InfFamAdv	40	135	35	30	0
Iran	IUrbanMidC	40	75	20	30	0
Iran	MoshenEjei	30	155	55	20	0
Iran	IranOilInd	50	75	40	30	0
Iran	AzEthnicMn	1	75	20	30	0
Iran	SLKhamene	100	155	90	15	1
Iran	InfRelAdv	30	135	30	30	0
Iran	expats	0.1	75	15	30	0
Iran	Rafsanjani	60	145	75	30	0
Iran	Aqazedeh	20	135	90	12	0
USA	USNSC	100	3	85	10	0
USA	USDOS	45	6	80	15	0
USA	Pentagon	45	5	70	5	0
